1,What is the maximum possible length of an identifier?
2,Who developed the Python language?
3,In which year was the Python language developed?
4,In which language is Python written?
5,Which one of the following is the correct extension of the Python file?
6,In which year was the Python 3.0 version developed?
7,What do we use to define a block of code in Python language?
8,Which character is used in Python to make a single line comment?
9,Which of the following statements is correct regarding the object-oriented programming concept in Python?
10,What is the method inside the class in python language?
